,city,lat,long,temp,humidity,cloudiness,windspeed,max temp,country,datetime
0,Saskylakh,71.92,114.08,-9.63,94,100,9.87,-9.63,RU,1603572140
1,Murud,18.33,72.97,25.32,87,43,2.0,25.32,IN,1603572140
2,Albany,42.6,-73.97,11.72,68,45,4.47,13.33,US,1603572004
3,Sibu,2.3,111.82,23.93,94,40,1.0,24.0,MY,1603571887
4,Fairbanks,64.84,-147.72,-4.37,92,90,1.27,-2.22,US,1603571949
5,Najrān,17.49,44.13,20.0,19,0,0.5,20.0,SA,1603572099
6,Ushuaia,-54.8,-68.3,10.0,70,75,6.7,10.0,AR,1603572082
7,Punta Arenas,-53.15,-70.92,5.77,93,90,6.2,6.0,CL,1603572141
8,Sisimiut,66.94,-53.67,-4.76,90,5,5.7,-4.76,GL,1603572141
9,Bredasdorp,-34.53,20.04,16.0,87,0,1.5,16.0,ZA,1603572142
10,Osakarovka,50.56,72.57,-0.12,81,95,8.09,-0.12,KZ,1603572142
11,Butaritari,3.07,172.79,27.81,66,18,3.16,27.81,KI,1603572142
12,Sinnamary,5.38,-52.95,28.43,74,41,5.62,28.43,GF,1603572142
13,Cherskiy,68.75,161.3,-8.31,93,4,2.45,-8.31,RU,1603572142
14,Qandala,11.47,49.87,27.58,29,70,1.62,27.58,SO,1603572143
15,Bluff,-46.6,168.33,21.67,57,85,6.71,21.67,NZ,1603572143
16,Vila Franca do Campo,37.72,-25.43,20.0,82,75,8.7,20.0,PT,1603572143
17,Autun,46.95,4.3,9.24,93,0,2.1,12.0,FR,1603572143
18,Cabo San Lucas,22.89,-109.91,31.17,66,5,4.1,32.22,MX,1603571849
19,Vokhma,58.93,46.76,-0.38,98,0,1.8,-0.38,RU,1603572144
20,Saint-Philippe,-21.36,55.77,19.3,64,0,2.6,22.0,RE,1603572144
21,Pambujan,12.56,124.93,26.04,89,100,3.42,26.04,PH,1603572144
22,Bo Phloi,14.32,99.52,21.52,75,10,1.39,21.52,TH,1603572145
23,Khatanga,71.97,102.5,-13.93,95,100,6.8,-13.93,RU,1603572145
24,Jamestown,42.1,-79.24,5.94,75,90,3.6,6.67,US,1603572123
25,Hong Kong,22.29,114.16,21.94,72,98,8.95,23.89,HK,1603572062
26,Port-Gentil,-0.72,8.78,26.0,88,40,4.6,26.0,GA,1603572145
27,Puerto Ayora,-0.74,-90.35,22.91,73,40,6.7,25.0,EC,1603572146
28,Hasaki,35.73,140.83,6.0,100,20,1.5,6.0,JP,1603572146
29,Airai,-8.93,125.41,16.16,100,6,0.44,16.16,TL,1603572146
30,Anjozorobe,-18.4,47.87,15.0,87,20,3.1,15.0,MG,1603572146
31,Mataura,-46.19,168.86,21.67,57,93,6.71,21.67,NZ,1603572146
32,Talnakh,69.49,88.4,-11.0,92,75,6.0,-11.0,RU,1603572147
33,Hamilton,39.18,-84.53,10.99,54,40,4.1,12.0,US,1603572147
34,Pisco,-13.7,-76.22,18.48,77,0,7.7,19.0,PE,1603572147
35,Tuktoyaktuk,69.45,-133.04,-9.0,100,75,2.1,-9.0,CA,1603572147
36,Batagay-Alyta,67.8,130.41,-12.28,86,100,2.5,-12.28,RU,1603572147
37,Kavaratti,10.57,72.64,27.44,74,51,3.32,27.44,IN,1603572148
38,Burnie,-41.07,145.92,6.67,50,0,4.47,6.67,AU,1603572148
39,Xaçmaz,41.46,48.81,16.84,46,0,2.0,16.84,AZ,1603572148
40,Pleshanovo,52.83,53.48,7.88,88,40,2.8,7.88,RU,1603572148
41,Wuda,39.5,106.71,7.67,55,0,1.5,7.67,CN,1603572149
42,Corinth,37.94,22.96,18.8,63,0,2.88,19.44,GR,1603572149
43,Cape Town,-33.93,18.42,15.52,93,20,2.6,17.22,ZA,1603572149
44,Emet,39.34,29.26,15.23,41,0,1.14,15.23,TR,1603572150
45,Al Bardīyah,31.76,25.09,21.74,80,0,7.25,21.74,LY,1603572150
46,Stepnogorsk,52.35,71.89,1.15,80,100,9.03,1.15,KZ,1603572150
47,Naifaru,5.44,73.37,28.15,74,100,4.9,28.15,MV,1603572150
48,Saint-Augustin,51.23,-58.65,7.75,82,100,6.88,7.75,CA,1603572151
49,Geraldton,-28.77,114.6,11.0,81,0,2.1,11.0,AU,1603572151
